                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.91684,                0.53364,                0.97559,                0.92332,                0.87821,                0.91905,                0.67346,                0.91534,                 0.4173,                 1.0785,              0.0006603,              0.0006603,              0.0006603
                     64,                0.92606,                0.54132,                0.98213,                0.94169,                0.87019,                0.91796,                0.68133,                 0.8876,                0.41331,                  1.062,              0.0006438,              0.0006438,              0.0006438
                     65,                0.91466,                0.53383,                0.98025,                0.94396,                0.86925,                0.91716,                0.67937,                0.91887,                 0.4175,                 1.0811,             0.00062729,             0.00062729,             0.00062729
                     66,                0.90003,                0.52472,                0.97072,                0.94232,                0.87468,                0.92098,                0.68306,                 0.8919,                0.40814,                 1.0608,             0.00061079,             0.00061079,             0.00061079
                     67,                0.89881,                0.52941,                0.97522,                0.93531,                0.87605,                 0.9216,                 0.6811,                0.90464,                0.41336,                 1.0636,             0.00059429,             0.00059429,             0.00059429
                     68,                0.90335,                0.52299,                0.96602,                0.92798,                0.88377,                0.92129,                 0.6713,                0.90736,                0.41184,                 1.0759,             0.00057778,             0.00057778,             0.00057778
                     69,                0.88929,                 0.5179,                0.96712,                0.93072,                0.88333,                0.92186,                0.67362,                0.92418,                 0.4052,                 1.0825,             0.00056128,             0.00056128,             0.00056128
                     70,                0.88648,                0.51936,                0.96912,                0.93581,                0.87483,                0.92034,                0.67753,                0.91018,                0.40999,                  1.081,             0.00054478,             0.00054478,             0.00054478
                     71,                0.88104,                0.51381,                0.96615,                0.93172,                0.88307,                0.91906,                0.68158,                0.90849,                0.40708,                 1.0741,             0.00052827,             0.00052827,             0.00052827
                     72,                0.86933,                0.51388,                0.96042,                0.94574,                0.87153,                0.91797,                0.68501,                0.87004,                0.40108,                 1.0556,             0.00051177,             0.00051177,             0.00051177
                     73,                0.87172,                0.50739,                0.96116,                0.93628,                0.87821,                0.91923,                0.67849,                 0.8916,                0.40385,                  1.066,             0.00049527,             0.00049527,             0.00049527
                     74,                0.86412,                 0.5004,                0.95621,                0.93919,                0.87726,                0.92113,                0.67861,                0.90692,                0.40461,                 1.0745,             0.00047876,             0.00047876,             0.00047876
                     75,                0.87271,                0.50597,                0.96495,                0.94386,                0.86498,                 0.9215,                0.69164,                 0.8807,                0.39723,                 1.0538,             0.00046226,             0.00046226,             0.00046226
                     76,                0.86219,                0.49708,                0.96163,                0.93727,                 0.8822,                0.92122,                 0.6808,                0.90225,                0.40117,                 1.0665,             0.00044576,             0.00044576,             0.00044576
                     77,                0.85593,                 0.4938,                0.95324,                0.93664,                0.88297,                0.92156,                0.68012,                0.88986,                0.39411,                 1.0608,             0.00042925,             0.00042925,             0.00042925
                     78,                0.84274,                0.48974,                0.95408,                0.94949,                0.87352,                0.91999,                0.68967,                0.86811,                 0.3933,                 1.0524,             0.00041275,             0.00041275,             0.00041275
                     79,                0.84322,                0.49144,                0.95146,                0.94167,                0.87724,                0.91954,                0.68444,                0.90008,                 0.3992,                 1.0658,             0.00039625,             0.00039625,             0.00039625
